userID, circleNr, gazeX, gazeY, gazeValid, circleX, circleY,
964713,1,1416.4,625.2,0,100,100,
964713,1,1416.4,625.2,0,100,100,
964713,1,907,353.8,0,100,100,
964713,1,907,353.8,0,100,100,
964713,1,855,406.8,0,100,100,
964713,1,497,183,0,100,100,
964713,1,497,183,0,100,100,
964713,1,497,183,0,100,100,
964713,1,290.8,90.2,0,100,100,
964713,1,276.4,78,0,100,100,
964713,1,285.2,65.8,0,100,100,
964713,1,298.2,60.6,-1,100,100,
964713,1,298.2,60.6,-1,100,100,
964713,1,769,-1.8,0,100,100,
964713,1,769,-1.8,0,100,100,
964713,1,615,37.2,0,100,100,
964713,1,617,22.6,0,100,100,
964713,1,601.2,9.4,0,100,100,
964713,1,600.2,22.8,0,100,100,
964713,1,621.2,38,0,100,100,
964713,1,660.2,27.6,0,100,100,
964713,1,672.6,23.6,0,100,100,
964713,1,672.6,23.6,0,100,100,
964713,1,673.4,22,0,100,100,
964713,2,680.8,23.4,0,567,100,
964713,2,623.2,10,0,567,100,
964713,2,614,10.8,0,567,100,
964713,2,531.2,-10.4,0,567,100,
964713,2,1087.6,0,0,567,100,
964713,2,1074.6,49.8,0,567,100,
964713,2,1122.4,49.8,0,567,100,
964713,2,1157.4,46.6,0,567,100,
964713,2,1159.2,38.4,0,567,100,
964713,2,937.2,132.8,0,567,100,
964713,2,937.2,132.8,0,567,100,
964713,2,841.2,221.4,0,567,100,
964713,2,887,165.8,0,567,100,
964713,2,971.8,130,0,567,100,
964713,2,971.8,130,0,567,100,
964713,2,949,111,0,567,100,
964713,2,948.2,81.2,0,567,100,
964713,2,966.4,53.6,0,567,100,
964713,2,944.8,62.2,0,567,100,
964713,2,944.8,62.2,0,567,100,
964713,2,944.2,89.6,0,567,100,
964713,2,943.4,91.8,0,567,100,
964713,2,926.6,155.4,0,567,100,
964713,2,926.6,155.4,0,567,100,
964713,3,943,206.8,0,1034,100,
964713,3,941.6,224,0,1034,100,
964713,3,933.6,222.6,0,1034,100,
964713,3,917,228,0,1034,100,
964713,3,917,228,0,1034,100,
964713,3,1310.2,173.4,0,1034,100,
964713,3,1324.2,168.6,0,1034,100,
964713,3,1383.6,152.2,0,1034,100,
964713,3,1450.6,133.6,0,1034,100,
964713,3,1466,105.8,0,1034,100,
964713,3,1464.6,80.4,0,1034,100,
964713,3,1461.8,70.8,0,1034,100,
964713,3,1461.4,72.4,0,1034,100,
964713,3,1465.4,71.4,0,1034,100,
964713,3,1468.6,68.8,0,1034,100,
964713,3,1474.2,62.4,0,1034,100,
964713,3,1476,59.4,0,1034,100,
964713,3,1612.4,50.6,0,1034,100,
964713,3,1624.4,47.2,0,1034,100,
964713,3,1624.6,57.8,0,1034,100,
964713,3,1624.6,57.8,0,1034,100,
964713,3,1450,142,0,1034,100,
964713,3,1440,150.2,0,1034,100,
964713,3,1439.2,144.2,0,1034,100,
964713,4,1439.8,143.8,0,100,408.5,
964713,4,1439.8,143.8,0,100,408.5,
964713,4,1441.8,164,0,100,408.5,
964713,4,1441.8,167.2,0,100,408.5,
964713,4,1431,162.2,0,100,408.5,
964713,4,1431,162.2,0,100,408.5,
964713,4,1431,162.2,0,100,408.5,
964713,4,380.4,453.4,0,100,408.5,
964713,4,369.4,488.2,0,100,408.5,
964713,4,411.8,274.2,0,100,408.5,
964713,4,427.2,269.2,0,100,408.5,
964713,4,427.2,269.2,0,100,408.5,
964713,4,366.2,305,0,100,408.5,
964713,4,366.2,305,0,100,408.5,
964713,4,374,310,0,100,408.5,
964713,4,374,310,0,100,408.5,
964713,4,374,310,0,100,408.5,
964713,4,374,310,0,100,408.5,
964713,4,385.2,322.8,-1,100,408.5,
964713,4,385.2,322.8,-1,100,408.5,
964713,4,433.6,395.4,0,100,408.5,
964713,4,433.6,395.4,0,100,408.5,
964713,4,433.6,395.4,0,100,408.5,
964713,4,349.6,384.8,0,100,408.5,
964713,5,325.8,380.2,0,567,408.5,
964713,5,325.8,380.2,0,567,408.5,
964713,5,305.6,372.6,0,567,408.5,
964713,5,305.6,372.6,0,567,408.5,
964713,5,314.6,395.6,0,567,408.5,
964713,5,827.6,434.2,0,567,408.5,
964713,5,836.4,410,0,567,408.5,
964713,5,836.4,410,0,567,408.5,
964713,5,809.4,464.4,0,567,408.5,
964713,5,798.2,465.8,0,567,408.5,
964713,5,790.2,447.6,0,567,408.5,
964713,5,780.2,434.6,0,567,408.5,
964713,5,780.2,434.6,0,567,408.5,
964713,5,714.6,378,0,567,408.5,
964713,5,724,377.8,0,567,408.5,
964713,5,747.4,384.8,0,567,408.5,
964713,5,752.8,407.4,0,567,408.5,
964713,5,752.8,407.4,0,567,408.5,
964713,5,784,369,0,567,408.5,
964713,5,778.6,361,0,567,408.5,
964713,5,810.8,349,0,567,408.5,
964713,5,814.4,340.8,0,567,408.5,
964713,5,814.4,340.8,0,567,408.5,
964713,5,819.8,388.6,0,567,408.5,
964713,6,814.8,447,0,1034,408.5,
964713,6,848.6,404.4,0,1034,408.5,
964713,6,855.6,394,0,1034,408.5,
964713,6,855.6,394,0,1034,408.5,
964713,6,853.6,365,0,1034,408.5,
964713,6,1251.2,332,0,1034,408.5,
964713,6,1371,334.2,0,1034,408.5,
964713,6,1407.6,326.4,0,1034,408.5,
964713,6,1407.6,326.4,0,1034,408.5,
964713,6,1431,337.8,0,1034,408.5,
964713,6,1427.6,345.4,0,1034,408.5,
964713,6,1413.8,438,0,1034,408.5,
964713,6,1397.4,476.8,0,1034,408.5,
964713,6,1397.4,476.8,0,1034,408.5,
964713,6,1393,469.4,0,1034,408.5,
964713,6,1391.4,465.4,0,1034,408.5,
964713,6,1378.8,462.8,0,1034,408.5,
964713,6,1368.4,449.6,0,1034,408.5,
964713,6,1368.4,449.6,0,1034,408.5,
964713,6,1341,441.6,0,1034,408.5,
964713,6,1341,441.6,0,1034,408.5,
964713,6,1283,409.2,0,1034,408.5,
964713,6,1261,420.8,0,1034,408.5,
964713,6,1249.6,427.4,0,1034,408.5,
964713,7,1238.2,445.2,0,100,717,
964713,7,1236.2,432.8,0,100,717,
964713,7,1222.8,439.4,0,100,717,
964713,7,1078.6,472.8,0,100,717,
964713,7,1068.6,471.6,0,100,717,
964713,7,1035.6,483.8,0,100,717,
964713,7,233.8,775.6,0,100,717,
964713,7,254,757.8,0,100,717,
964713,7,37,759,0,100,717,
964713,7,37,759,0,100,717,
964713,7,176.4,654,0,100,717,
964713,7,184,661.2,0,100,717,
964713,7,211.8,652.6,0,100,717,
964713,7,211.8,652.6,0,100,717,
964713,7,284.4,679.2,0,100,717,
964713,7,357.8,667,0,100,717,
964713,7,308.4,741.4,0,100,717,
964713,7,-2.2,899,0,100,717,
964713,7,-9.4,898.8,0,100,717,
964713,7,-9.4,898.8,0,100,717,
964713,7,162.8,828.4,0,100,717,
964713,7,162.8,828.4,0,100,717,
964713,7,233,793.2,0,100,717,
964713,7,239,790.8,0,100,717,
964713,8,231.2,784,-1,567,717,
964713,8,231.2,784,-1,567,717,
964713,8,231.2,784,-1,567,717,
964713,8,154,842,0,567,717,
964713,8,458,628,0,567,717,
964713,8,458,628,0,567,717,
964713,8,667.2,714,0,567,717,
964713,8,683.8,717.4,0,567,717,
964713,8,700.8,715.8,0,567,717,
964713,8,711.8,712.6,0,567,717,
964713,8,715.4,718.6,0,567,717,
964713,8,715.4,718.6,0,567,717,
964713,8,707.6,713.6,0,567,717,
964713,8,681.8,737.8,0,567,717,
964713,8,731.6,715.4,0,567,717,
964713,8,724.8,700.2,0,567,717,
964713,8,724.8,700.2,0,567,717,
964713,8,715.4,695.2,0,567,717,
964713,8,736.6,681.2,0,567,717,
964713,8,688.6,690.8,0,567,717,
964713,8,688.6,690.8,0,567,717,
964713,8,626.2,731.2,0,567,717,
964713,8,610,700.2,0,567,717,
964713,8,603.8,696,0,567,717,
964713,9,602.6,710.2,0,1034,717,
964713,9,602.6,710.2,0,1034,717,
964713,9,570.4,764.4,0,1034,717,
964713,9,560.8,803.6,0,1034,717,
964713,9,603,786.2,0,1034,717,
964713,9,745.4,653.8,0,1034,717,
964713,9,1188.4,669,0,1034,717,
964713,9,1209.8,654.2,0,1034,717,
964713,9,1206.8,652.6,0,1034,717,
964713,9,1182,655,0,1034,717,
964713,9,1170,658.6,0,1034,717,
964713,9,1172.8,659.6,0,1034,717,
964713,9,1172.8,659.6,0,1034,717,
964713,9,1191.8,675.2,0,1034,717,
964713,9,990,828,0,1034,717,
964713,9,988.6,817.4,0,1034,717,
964713,9,993,807,0,1034,717,
964713,9,1080.6,724.6,0,1034,717,
964713,9,1239.4,719.4,0,1034,717,
964713,9,1249.4,736.2,0,1034,717,
964713,9,1301.4,711.2,0,1034,717,
964713,9,1306,711.2,0,1034,717,
964713,9,1306,711.2,0,1034,717,
964713,9,1323.4,714.8,0,1034,717,
964713,9,1351.6,712.6,0,1034,717,
